barcode,author,title,440$v(volume),publisher,copyrightdate,pages,ClassificationNumber,041$h(language),3(stockhead),homebranch,650$a(subject),price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
LGARC#522,Kohinoor's,Shopping complex,,Kohinoor Pub. Agra,1989,10p,ARC,,,ARC,,90,,,,,,,,
LGARC#523,Kohinoor's,Kohinoors Apartment,,Kohinoor Pub. Agra,1989,10p,ARC,,,ARC,,90,,,,,,,,
LGARC#524,Jones,Design methods,,John Wiley Eastern Ltd. New Delhi,1980,407p,ARC,,,ARC,,201,,,,,,,,
LGARC#525,Brajbrooke,Design for research,,John Wiley Eastern Ltd. New Delhi,1986,193p,ARC,,,ARC,,804,,,,,,,,
LGARC#526,DDATCPO,Master Plan for Delhi,,DDATCPO,,p,ARC,,,ARC,,50,,,,,,,,
LGARC#527,Young,Visual Studies foundations for artists and design,,Prentice Hall Inc. New Jersey,1985,192p,ARC,,,ARC,,822.15,,,,,,,,
LGARC#528,Fabos,Land Use Planning,,Chapman,1985,223p,ARC,,,ARC,,755.05,,,,,,,,
LGARC#529,Tadgell,The history of architecture in India,,Viking Penguin New Delhi,1990,336p,ARC,,,ARC,,1500,,,,,,,,
LGARC#530,Kurtz,Visual Imagination,,Prentice Hall New Jersey,1987,463p,ARC,,,ARC,,878.85,,,,,,,,
LGARC#531,Norurich,The World Atlas of Architecture,,Portland House NewYork,1984,408p,ARC,,,ARC,,1417.5,,,,,,,,
LGARC#532,Head .Raymond,The Indian Style,,George Allen & Unurn Boston,1986,210p,ARC,,,ARC,,682.65,,,,,,,,
LGARC#533,"Cooper , Nicholas",English Manner hours,,Weidenfeld London,1990,169p,ARC,,,ARC,,477.85,,,,,,,,
LGARC#534,"Foster , Michael",Principles of Architecture,,New Burlington Books London,1989,224p,ARC,,,ARC,,738,,,,,,,,
LGARC#535,Sothely's,European works of art Ranaissance Bronzer and Sculpture,,Works Illustrative as the fine art London,1989,p,ARC,,,ARC,,442.8,,,,,,,,
LGARC#536,"Harlan , Calvin",Vision and Invention,,Prentice Hall,1986,214p,ARC,,,ARC,,850.5,,,,,,,,
LGARC#537,"Sethi ,Krishanlal",Commentory on M.P. Municipal corporations,,Lawyers Home Indore,1989,760p,ARC,,,ARC,,270,,,,,,,,
LGARC#538,"Jain,Suresh",?????????? ??? ????? ???? ??????,,Lawyers Home Indore,1988,768p,ARC,,,ARC,,200,,,,,,,,
LGARC#539,"Ikonnikov ,Andrei",Russion Architecture of the Soviet Period,,Raduga Pub. Moscow,1988,397p,ARC,,,ARC,,20.5,,,,,,,,
LGARC#540,Korder,Basic Drawing for Buildings,,,1987,280p,ARC,,,ARC,,23.5,,,,,,,,
LGARC#541,Koroev Yu,Indian Architects Directory 7th ed.,,J.K. White Cement The Architect Pub. In India Bombay,1991,620p,ARC,,,ARC,,200,,,,,,,,
LGARC#542,Rangwala,Railway Engineering,,Charotar Pub. House Opp. Anand,1991,437p,ARC,,,ARC,,45,,,,,,,,
LGARC#543,Saxena/Arora,Railway Engineering,,Dhanpat Rai & Sons New Delhi,1990,557p,ARC,,,ARC,,42.5,,,,,,,,
LGARC#544,Kazimi/Jindal,Design of steel Structures ed.2,,P.H.I. New Delhi,1989,674p,ARC,,,ARC,,89,,,,,,,,
LGARC#545,Pashupatinath,Environmental pollution conservation,,Chugh Pub. Allahabad,1990,272p,ARC,,,ARC,,250,,,,,,,,
LGARC#546,Mahesh Verma,Construction Planning and Management Through System Technique,,Metropolitan Delhi,1985,416p,ARC,,,ARC,,85,,,,,,,,
LGARC#547,ILO,Introduction to Work study,,Universal Book Co.,1981,442p,ARC,,,ARC,,90,,,,,,,,
LGARC#548,K.Raju,Prestressed Concrete,,T.M.H. New Delhi,1981,518p,ARC,,,ARC,,69,,,,,,,,
LGARC#549,Garde R.J.,Mechanics of Sediment Transportation and Allivial Stream Problems,,Wiley,1991,618p,ARC,,,ARC,,300,,,,,,,,
LGARC#550,"Sudjic , Deyan",House Style Book,,Holt Rinehart & Winston NewYork,1984,360p,ARC,,,ARC,,1287,,,,,,,,
LGARC#551,Zimmeman/Hart,Value Engineering,,C.B.S. Pub. Delhi,1988,279p,ARC,,,ARC,,65,,,,,,,,
LGARC#552,Arthanni S.,Building Technology and valuation,,T.M.H. New Delhi,1989,260p,ARC,,,ARC,,30,,,,,,,,
LGARC#553,"Saxena , N.K.",Problems in reinforced concrete design,,C.B.S. Pub. Delhi,1989,198p,ARC,,,ARC,,45,,,,,,,,
LGARC#554,Krishna Raju,Design of Concrete mixes ed.3,,C.B.S. Pub. Delhi,1988,224p,ARC,,,ARC,,48,,,,,,,,
LGARC#555,Finbow,Environmental physics in Construction,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#556,"Stevenson , Paul",Architectural Illustration,,V.N.R. NewYork,1979,275p,ARC,,,ARC,,1026.74,,,,,,,,
LGARC#557,"Landphair , Horlov c.",Landscape architecture construction,,ELSEVIER NewYork,1979,432p,ARC,,,ARC,,1817,,,,,,,,
LGARC#558,"Moudgil , K.R.",Architectural Design,,New Asian Pub. Delhi,1991,96p,ARC,,,ARC,,200,,,,,,,,
LGARC#559,Ramarutam,Design of reinforced concrete structures,,Dhanpat Rai & Sons New Delhi,1991,1344p,ARC,,,ARC,,120,,,,,,,,
LGARC#560,Iyengar/Viswanatha,Torsteel design hand book,,T.M.H. New Delhi,1990,190p,ARC,,,ARC,,150,,,,,,,,
LGARC#561,"Head , Ronald",The Indian Style,,George Allen & UNWIN London,1986,210p,ARC,,,ARC,,925,,,,,,,,
LGARC#562,"Miles ,D.M.",The Urban School,,Architectural Press London,1983,282p,ARC,,,ARC,,547.5,,,,,,,,
LGARC#563,"Brown , Percy",Indian Architecture,,Taraporevals,1956,134p,ARC,,,ARC,,800,,,,,,,,
LGARC#564,"Gill,Robert W",Thames and hudson menual of rendering,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#565,Gallion A.B.,Urban Patterns,,C.B.S. Pub. Delhi,1984,451p,ARC,,,ARC,,65,,,,,,,,
LGARC#566,"Acharya , P.K.",Hindu Architecture India and Abroad,,J.K. Pub. Bhopal,1979,508p,ARC,,,ARC,,250,,,,,,,,
LGARC#567,Juliano,Treasuers of China,,Richard Mark Pub. NewYork,1987,192p,ARC,,,ARC,,1001,,,,,,,,
LGARC#568,Narayana K.L.,Engineering Graphics,,T.M.H. New Delhi,1988,544p,ARC,,,ARC,,60,,,,,,,,
LGARC#569,@,Ierenee Coneran's Diy by Design,,British Lib. Congress,1989,p,ARC,,,ARC,,949.5,,,,,,,,
LGARC#570,Kaushik S.C.,Thermal Control in passive Solar building,,I.B.T. Pub. Delhi,1988,314p,ARC,,,ARC,,300,,,,,,,,
LGARC#571,Mark Arends,Interior Presentation Sketching for architects design,,Van Nostrand Reinhold Comp.,1990,121p,ARC,,,ARC,,995.28,,,,,,,,
LGARC#572,Beer,Environmental Planning for site Development,,E & F.W. Spon London,1990,319p,ARC,,,ARC,,925,,,,,,,,
LGARC#573,De Chiara,Time Saver Standards for site planning,,McGraw Hill New Delhi,1984,849p,ARC,,,ARC,,3401.97,,,,,,,,
LGARC#574,"Laseau,Paul",Graphics thinking for architecture and designers,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#575,"Ching,Francis",Building Construction illustrated,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#576,Jones,Building measurments,,Butter Worth,1982,198p,ARC,,,ARC,,447.5,,,,,,,,
LGARC#577,Davis,Construction site production - 4,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#578,Hall,Building Service and equipment 5,,Butter Worth,1989,152p,ARC,,,ARC,,197.5,,,,,,,,
LGARC#579,Jameson,Site Details,,Van Nostrand Reinhold Comp.,1990,394p,ARC,,,ARC,,1716,,,,,,,,
LGARC#580,NA,Neufest architects datas,,C.S.P. Professional Books,1991,433p,ARC,,,ARC,,950,,,,,,,,
LGARC#581,"Moudgil , K.R.",Architectural Design,,New Asian Pub. Delhi,1990,96p,ARC,,,ARC,,200,,,,,,,,
LGARC#582,Scolt Van Dyke,From line to design,,Van Nostrand Reinhold Comp.,1989,198p,ARC,,,ARC,,715,,,,,,,,
LGARC#583,Ching,Interior design illustrated,,Van Nostrand Reinhold Comp.,1972,318p,ARC,,,ARC,,892.32,,,,,,,,
LGARC#584,Trogler G.E.,Beginning Experience in architecture,,V.N.R. NewYork,1986,143p,ARC,,,ARC,,284.57,,,,,,,,
LGARC#585,Banister,A History of Architecture,,C.B.S. Pub. Delhi,1981,1390p,ARC,,,ARC,,375,,,,,,,,
LGARC#586,Pritchard,Building Science and Materials 2,,Butter Worth,1990,110p,ARC,,,ARC,,175,,,,,,,,
LGARC#587,Puffett,Plumbing Services Vol-I,,McGraw Hill New Delhi,1990,255p,ARC,,,ARC,,1256.97,,,,,,,,
LGARC#588,Puffett,Plumbing Services Vol-II,,McGraw Hill New Delhi,1990,287p,ARC,,,ARC,,1256.97,,,,,,,,
LGARC#589,"Oppenhain,Aleon",Digital Signal Processing,,P.H.I. New Delhi,1991,585p,ARC,,,ARC,,89,,,,,,,,
LGARC#590,"Oppenhain,Aleon",Mcmillan Encyclopedia of Architecture vol-I,,Callier Mac Millan Pub. London,1982,618p,ARC,,,ARC,,1744.63,,,,,,,,
LGARC#591,"Oppenhain,Aleon",Mcmillan Encyclopedia of Architecture vol-2,,Callier Mac Millan Pub. London,1982,670p,ARC,,,ARC,,1744.63,,,,,,,,
LGARC#592,"Oppenhain,Aleon",Mcmillan Encyclopedia of Architecture vol-3,,Callier Mac Millan Pub. London,1982,697p,ARC,,,ARC,,1744.62,,,,,,,,
LGARC#593,"Oppenhain,Aleon",Mcmillan Encyclopedia of Architecture vol-4,,Callier Mac Millan Pub. London,1982,686p,ARC,,,ARC,,1744.62,,,,,,,,
LGARC#594,Gupta,Concepts of Modern Physics,,Dhanpat Rai & Sons New Delhi,1989,628p,ARC,,,ARC,,42.5,,,,,,,,
LGARC#595,Gallion,Urban Patterns,,C.B.S. Pub. Delhi,1984,457p,ARC,,,ARC,,65,,,,,,,,
LGARC#596,"Ghose ,D.N.",Book of Home Plans,,C.B.S. Pub. Delhi,1992,229p,ARC,,,ARC,,105,,,,,,,,
LGARC#597,Kadiyali A.R.,Highway Engineering,,Khanna Pub. New Delhi,1984,764p,ARC,,,ARC,,37.5,,,,,,,,
LGARC#598,Mahalanabis,Computer aided power system analysis and control,,T.M.H. New Delhi,1988,338p,ARC,,,ARC,,180,,,,,,,,
LGARC#599,"Kaushika ,N.D.",Solar Energy Principles and applications,,J.B.T. Pub. Dist. Delhi,1988,246p,ARC,,,ARC,,250,,,,,,,,
LGARC#600,Misra H.N.,Urban Systems of developing  economics,,Heritage Pub. New Delhi,1988,250p,ARC,,,ARC,,180,,,,,,,,
LGARC#601,Basham,The Wonder that was India,,Rupa & Co. Culcutta,1991,572p,ARC,,,ARC,,100,,,,,,,,
LGARC#602,Christian Chortos M,Modern Metropolitan Systems,,Charles E Merill Pub. Co. London,1982,495p,ARC,,,ARC,,1006.4,,,,,,,,
LGARC#603,Christian Chortos M,A and D interior special issues  oct 1991,,Media Transasia,1991,143p,ARC,,,ARC,,200,,,,,,,,
LGARC#604,Christian Chortos M,CANADA A contemporary portrait,,Windsor Pub. Canada,1991,400p,ARC,,,ARC,,1258.4,,,,,,,,
LGARC#605,Gupta,Concepts of Modern Physics,,Dhanpat Rai & Sons New Delhi,1989,p,ARC,,,ARC,,42.5,,,,,,,,
LGARC#606,Millman,Electronic Devices and Circuits,,T.M.H. New Delhi,1992,752p,ARC,,,ARC,,120,,,,,,,,
LGARC#607,Elgerd,Electrical Energy systems Theory,,T.M.H. New Delhi,1989,533p,ARC,,,ARC,,99,,,,,,,,
LGARC#608,Aurand,Fountains and Pools,,P.D.A. Pub. Arizona,1987,168p,ARC,,,ARC,,955.4,,,,,,,,
LGARC#609,Lascou,Graphics Problem solving,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#610,Callander,Time Saver Standard for building types,,McGraw Hill New Delhi,1990,1413p,ARC,,,ARC,,1435.5,,,,,,,,
LGARC#611,"Dagostino, Frank R.",Mechanical and electrical Systems in construction and architectures,,Reston Pub. Virginia,1978,545p,ARC,,,ARC,,1547.15,,,,,,,,
LGARC#612,Landphair H.C.,Landscape Architecture and architecture Construction,,Elsevier NewYork,1979,432p,ARC,,,ARC,,2104.5,,,,,,,,
LGARC#613,Mckay,Building Construction vol- 1,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#614,Mckay,Building Construction vol- 3,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#615,Mckay,Building Construction vol- 4,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#616,Gallion A.B.,Urban Pattern ed.4,,C.B.S. Pub. Delhi,1984,451p,ARC,,,ARC,,65,,,,,,,,
LGARC#617,PID,Plants for reclamation of waste and,,D.I.P.,1990,684p,ARC,,,ARC,,325,,,,,,,,
LGARC#618,Mendonca,The Architectural and building directory,,B.P.P.,1993,1498p,ARC,,,ARC,,380,,,,,,,,
LGARC#619,Brown,Indian Architecture (Buddisth and Hindu),,Tarapurwala,1956,216p,ARC,,,ARC,,975,,,,,,,,
LGARC#620,Brown,Indian Architecture (Islamic Period)),,Tarapurwala,1956,134p,ARC,,,ARC,,950,,,,,,,,
LGARC#621,CBRI,Building Materials and Components,,CBRI,1990,240p,ARC,,,ARC,,240,,,,,,,,
LGARC#622,Brown P.,Indian Architecture (Islamic),,B. Tarapurwala,1956,134p,ARC,,,ARC,,950,,,,,,,,
LGARC#623,Brown P.,Indian Architecture (Buddisth),,B. Tarapurwala,1956,216p,ARC,,,ARC,,975,,,,,,,,
LGARC#624,"Mosteller, John F.",Measure of Farm,,Abhinav Pub. New Delhi,1991,291p,ARC,,,ARC,,800,,,,,,,,
LGARC#625,"Kramrisch , Stella",The Hindu Temple Vol I,,Motilal Banarsi Das Pub. Delhi,1991,295p,ARC,,,ARC,,250,,,,,,,,
LGARC#626,"Kramrisch , Stella",The Hindu Temple Vol II,,INGC Indra Gandhi National Centre for Arts  Abhinav Pub. New Delhi,1991,296-466p,ARC,,,ARC,,250,,,,,,,,
LGARC#627,"Vatsyayan , Kapila ed.",Concepts of Space: Ancient and Modern,,B.P.B. Pub. New Delhi,1991,665p,ARC,,,ARC,,1200,,,,,,,,
LGARC#628,"Omura , George",Mastering autocad release II,,B.P.B. Pub. New Delhi,1992,931p,ARC,,,ARC,,275,,,,,,,,
LGARC#629,Haynes Colin,Computer Virus protection hand book,,Wiley,1990,192p,ARC,,,ARC,,150,,,,,,,,
LGARC#630,Fletchers,A History of Architectures,,Butterworth C.B.S. Pub. Delhi,1992,1622p,ARC,,,ARC,,695,,,,,,,,
LGARC#631,Fletchers,A History of Architectures,,Butterworth C.B.S. Pub. Delhi,1992,1622p,ARC,,,ARC,,,,,,,,,,
LGARC#632,"Ahmed,Nizamuddin",Industrial Architecture for development Countries,,Vikas Pub. New Delhi,1992,580p,ARC,,,ARC,,599,,,,,,,,
LGARC#633,Brown Perey,Indian Architecture (Islamic Period)),,Tarapurwala & Sons Pvt. Ltd. Bombay,1956,134p,ARC,,,ARC,,950,,,,,,,,
LGARC#634,Brown Perey,Indian Architecture (Buddhist and Hindu),,Tarapurwala & Sons Pvt. Ltd. Bombay,1956,216p,ARC,,,ARC,,975,,,,,,,,
LGARC#635,"Martin, Lesliekil",Housing in the third world,,Concepts Pub. Co. New Delhi,1992,335p,ARC,,,ARC,,400,,,,,,,,
LGARC#636,A K Singh,Origin and Growth of Towns,,Concept Publishing,1990,268p,ARC,,,ARC,,230,,,,,,,,
LGARC#637,"Misra , Kamlesh",Housing the poor in third world cities,,Concepts Pub. Co. New Delhi,1992,159p,ARC,,,ARC,,200,,,,,,,,
LGARC#638,"Rao , M.Pratap",Planning for Metropolitian Cities,,Concepts Pub. Co. New Delhi,1990,128p,ARC,,,ARC,,120,,,,,,,,
LGARC#639,"Shal,Kale",Building drawing,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#640,Miller,ABC of Auto CAD release 12,,B.P.B. Pub. New Delhi,1993,318p,ARC,,,ARC,,150,,,,,,,,
LGARC#641,Omura,Mastering Autocad release 11 ed.4,,B.P.B. Pub. New Delhi,1992,931p,ARC,,,ARC,,275,,,,,,,,
LGARC#642,"Walverton , Van",Running MS-DOS,,Microsoft Press Washington,1984,542p,ARC,,,ARC,,240,,,,,,,,
LGARC#643,Walkenbach/Robinson,PC World 1-2-3 for Windows,,Galgotia Pub.,1992,680p,ARC,,,ARC,,295,,,,,,,,
LGARC#644,??? /???,?????????? ??? ????? ???? ??????,,?? ?????? ??? ?????,1990,768p,ARC,,,ARC,,250,,,,,,,,
LGARC#645,Tiwari/Jain,Madhyay Pradesh Municipal Manual,,Indian Law House Indore,1991,836p,ARC,,,ARC,,200,,,,,,,,
LGARC#646,"Sethi , K.C.",Commentary on M.P. Municipal Corporations,,Indian Law House Indore,1991,760p,ARC,,,ARC,,300,,,,,,,,
LGARC#647,Root,Fundamental of Lands capery and site planning,,A.V.I. Pub. Co. Westport,1985,158p,ARC,,,ARC,,1212.77,,,,,,,,
LGARC#648,Kasu,Interior Design,,I.Q.V.A.R.A. Pub. Bombay,1992,693p,ARC,,,ARC,,1200,,,,,,,,
LGARC#649,Walker,Site Design and construction detailing,,P.D.A. Pub Arizona,1988,506p,ARC,,,ARC,,1455.67,,,,,,,,
LGARC#650,"Willis , K.G.",Economics of town and country planning,,Granada NewYork,1980,281p,ARC,,,ARC,,500,,,,,,,,
LGARC#651,Turner, Construction economics & Building design,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#652,"Killingsworth,Roger",Cost Control in Building Design,,R.S. Means Co. Plaza,1988,273p,ARC,,,ARC,,1733.27,,,,,,,,
LGARC#653,"Robinette , Gary O.",Water conservation in landscape,,V.N.R. NewYork,1984,258p,ARC,,,ARC,,1707.24,,,,,,,,
LGARC#654,"Rawsor , Philip",Design,,Prentice Hall,1988,352p,ARC,,,ARC,,1665.6,,,,,,,,
LGARC#655,Dinesh Mohan,Pile Foundations,,Oxford & I.B.H.,1988,169p,ARC,,,ARC,,150,,,,,,,,
LGARC#656,Puri B.B.,Mass Scale Housing for hot climate,,Oxford & I.B.H.,1993,118p,ARC,,,ARC,,125,,,,,,,,
LGARC#657,Endreny J.,Perspective rendring for  commercial design exterior,,Van Nostrand Reinhold Co.,1982,156p,ARC,,,ARC,,1474.08,,,,,,,,
LGARC#658,"Shah,M.G.",Building drawing,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#659,"Shah,M.G.",Building drawing,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#660,S.C. Agarwal,Architecture and town planning,,Dhanpat Rai & Sons New Delhi,1993,170p,ARC,,,ARC,,35,,,,,,,,
LGARC#661,Matus V.,Design for Northern Climates,,Van Nostrand Reinhold Co.,,218p,ARC,,,ARC,,1752.96,,,,,,,,
LGARC#662,Laxmi Nagraj,Habitat,,G.A. Ram Pub.,1990,83p,ARC,,,ARC,,75,,,,,,,,
LGARC#663,S.C. Agarwal,Interior decoration,,Dhanpat Rai & Sons New Delhi,1993,100p,ARC,,,ARC,,40,,,,,,,,
LGARC#664,Kiran S.C.,50 home plans (Shelter),,Dhanpat Rai & Sons New Delhi,1987,83p,ARC,,,ARC,,75,,,,,,,,
LGARC#665,Kiran S.C.,Mane a new intiative in public housing,,Hudco,1991,136p,ARC,,,ARC,,110,,,,,,,,
LGARC#666,Kiran S.C.,Mane a new intiative in public housing,,Hudco,1991,136p,ARC,,,ARC,,,,,,,,,,
LGARC#667,Hiraskar G.K.,Fundamentals of Town Planning,,Dhanpat Rai & Sons New Delhi,1992,141p,ARC,,,ARC,,30,,,,,,,,
LGARC#668,Hiraskar G.K.,The great ages of world architecture,,Dhanpat Rai & Sons New Delhi,1991,354p,ARC,,,ARC,,85,,,,,,,,
LGARC#669,??????????,?????????? ??? ?????? ???????,,Suvidha Law House Bhopal,1993,691p,ARC,,,ARC,,330,,,,,,,,
LGARC#670,??????????,?????????? ??? ?????? ???? ???????,,Suvidha Law House Bhopal,1992,234p,ARC,,,ARC,,200,,,,,,,,
LGARC#671,Manger J.J.,UNIX the complete Book aguide for the professionals,,Galgotia Delhi,1993,453p,ARC,,,ARC,,176,,,,,,,,
LGARC#672,Kasprirn R.J.,Water Colour in architectural design,,Van Nostrand Reinhold Co.,1999,268p,ARC,,,ARC,,2111.5,,,,,,,,
LGARC#673,Parker,UNIX Users handbook,,Galgotia Delhi,1993,574p,ARC,,,ARC,,250,,,,,,,,
LGARC#674,Jamesson G.W.,Site Details,,Van Nostrand Reinhold Co.,1989,394p,ARC,,,ARC,,1992,,,,,,,,
LGARC#675,Altman,Using 1-23 for DOS  release 3.1,,P.H.I. New Delhi,1992,959p,ARC,,,ARC,,225,,,,,,,,
LGARC#676,Walker T.D.,Site Design and construction details,,P.D.A. Pub.,1988,506p,ARC,,,ARC,,1392.75,,,,,,,,
LGARC#677,Kirk S.J.,Creative design decisions,,Van Nostrand Reinhold Co.,1988,282p,ARC,,,ARC,,1839.28,,,,,,,,
LGARC#678,"Lauris,M.",An introduction to Landscape architecture,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#679,Fletchors,A History of Architecture,,C.B.S. Pub. Delhi,1992,1622p,ARC,,,ARC,,695,,,,,,,,
LGARC#680,Qaisar A.J.,Art and Culture,,Publication School Jaipur,1993,166p,ARC,,,ARC,,950,,,,,,,,
LGARC#681,A.K. Lal,Hand Book of Low cost housing,,N.A.I.(Wiley),1995,185p,ARC,,,ARC,,350,,,,,,,,
LGARC#682,Rochon P.,Colour in Architectural illustrations,,Van Nostrand Reinhold Co.,1989,199p,ARC,,,ARC,,2081.52,,,,,,,,
LGARC#683,Broudy,Time Saver details for Store planning,,McGraw Hill,1995,256p,ARC,,,ARC,,847.83,,,,,,,,
LGARC#684,De.Chiara,Time Saver Standards of interior design,,McGraw Hill,1992,1160p,ARC,,,ARC,,1593,,,,,,,,
LGARC#685,Jain A.K.,Building System for low income House,,Management Pub. Co.,1992,165p,ARC,,,ARC,,250,,,,,,,,
LGARC#686,Lal A.K.,Hand Book of Low cost housing,,Newage International Ltd.,1995,185p,ARC,,,ARC,,350,,,,,,,,
LGARC#687,Sharp,Architects and Architecture,,Witney lib of Densi,1991,256p,ARC,,,ARC,,1414.2,,,,,,,,
LGARC#688,Peter H.Smeallie,New Construction for older Building,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#689,Midglet,Sculpture modeling and,,Bwary Midgley,1982,224p,ARC,,,ARC,,1060.2,,,,,,,,
LGARC#690,Shah/Kale,Building Drawing,,T.M.H. New Delhi,1995,262p,ARC,,,ARC,,102,,,,,,,,
LGARC#691,Croft,Recycled as restaurant,,Whitney NewYork,1991,22p,ARC,,,ARC,,1593,,,,,,,,
LGARC#692,Penner,Conference center planning and design,,Whitney NewYork,1991,256p,ARC,,,ARC,,2122,,,,,,,,
LGARC#693,Jain,Building System for low income,,Management Pub. Co.,1992,165p,ARC,,,ARC,,250,,,,,,,,
LGARC#694,Fitch,Retail Design,,Whitney NewYork,1990,256p,ARC,,,ARC,,1947,,,,,,,,
LGARC#695,Sanoff,Visual research methods in design,,Van Nostrand Reinhold Co.,1991,221p,ARC,,,ARC,,1483.26,,,,,,,,
LGARC#696,"Ahuja,Ram",Social problem in india,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#697,"Ahuja,Ram",Social problem in india,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#698,"Ahuja,Ram",Social problem in india,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#699,Chauhan A S,Society Environment and Engineering,,Jain Brothers,1995,666p,ARC,,,ARC,,75,,,,,,,,
LGARC#700,Chauhan A S,Society Environment and Engineering,,Jain Brothers,1995,666p,ARC,,,ARC,,75,,,,,,,,
LGARC#701,Chauhan A S,Society Environment and Engineering,,Jain Brothers,1995,666p,ARC,,,ARC,,75,,,,,,,,
LGARC#702,Thomas.A.herris,I' m ok - you' re ok,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#703,Thomas.A.herris,I' m ok - you' re ok,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#704,Thomas.A.herris,I' m ok - you' re ok,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#705,,1996 unique qui of sociology,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#706,,1996 unique qui of sociology,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#707,,1996 unique qui of sociology,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#708,,1996 unique qui of political science,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#709,,1996 unique qui of political science,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#710,,1996 unique qui of political science,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#711,Hansraj,Rural society,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#712,Hansraj,Rural society,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#713,Hansraj,Rural society,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#714,Alan Phillips,"The Best in lobby design ,hotels & Office",,Rotovision,1991,229p,ARC,,,ARC,,995,,,,,,,,
LGARC#715,Gropp L.O.,House Beautiful Colour,,Hearst Books NewYork,1993,143p,ARC,,,ARC,,22,,,,,,,,
LGARC#716,Croft,Recycled as restaurats,,Whitney,1991,223p,ARC,,,ARC,,995,,,,,,,,
LGARC#717,Shah C.S.,Architects hand book,,Galgotia Pub.,1996,456p,ARC,,,ARC,,650,,,,,,,,
LGARC#718,Geoffery,The complete landscape design & gardens of Geoffrey,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#719,"Smith,Sam",Bldg.Details sheet,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#720,"Kertik,John",Interior Architecture,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#721,"Nath,R.",Monuments of Delhi,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#722,"Nath,R.",Art & arch. of Taj Mahal,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#723,"Nath,R.",Arch of the Baburi Masjid of Ayodhya,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#724,"Puri,B.B.",Applied Vastu Shastra in Modern Architecture,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#725,"Puri,B.B.","A book on vastu shastra,vedic architecture and art of living",,,,,ARC,,,ARC,,570,,,,,,,,
LGARC#726,"Nath,R.",Elements of indian art  & arch,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#727,"Jenlks,Charles",The language of post modern arch,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#728,"Welsh,John", Modern House,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#729,"Nath,R.","Jharokha,an illustrated glossary of indo arch",,,,,ARC,,,ARC,,,,,,,,,,
LGARC#730,"Pury,B.B.",Vedic arch & art of,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#731,"Micheal,Lancaster",The new european landscape,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#732,Rangwala,Building Construction,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#733,Rangwala,Engg.Materials,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#734,"Axerlrod,Jerold L.",Architectural Plans for adding on of remodeling,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#735,"Gallion,B.",The Urban Pattern,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#736,"Panchdhari,A.C.",Maintenance of buildings,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#737,"Pual Lang,V",Principles of Air conditioning,,,,,ARC,,,ARC,,,,,,,,,,
