barcode,author,title,volume,publisher,copyrightYear,Pages,classificationNumber,language,stockhead,issueinglibrary,subject,price,currency,billdate,billnumber,bookcategory,section,booktype,SourceofPurchase,lostStatus
SC003098,Martinich,Production And Operating Management,,Willey Publication,1999,875,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,445.5,INR,6/26/2001,1341,Reference,Reference Section,NFIC,APS,
SC003099,King S.H.,New Vistas In English Prose,,Black,1977,159,1.3,eng,SCGRANT,SCGRANT,Humaniites,24,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003100,"Mano, M. Morris",Computer System Architecture,,Prentice Hall of India,1999,525,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003101,Van Valkenberg,Network Analysis,,Prentice Hall of India,2000,571,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,195,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003102,Vankatraman R.,Pulse Digital Circuits & Computer Fundamentals,,Dhanpat Rai,1997,109,4,eng,SCGRANT,SCGRANT,Computer Science,125,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003103,Rajaraman V.,Computer Programming In Fortran -77,,Prentice Hall of India,1999,198,4,eng,SCGRANT,SCGRANT,Computer Science,95,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003104,Rangwala,Building Construction,,Charotar Publication,2000,831,624,eng,SCGRANT,SCGRANT,Civil Engineering,140,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003105,Arora/Bindi,Building Construction,,Dhanpat Rai,1999,1074,624,eng,SCGRANT,SCGRANT,Civil Engineering,120,INR,6/26/2001,1341,BK,General Section,NFIC,APS,3
SC003106,Punmia B.C.,Surveying Vol-4,,Laxmi Publication.,2000,642,624,eng,SCGRANT,SCGRANT,Civil Engineering,150,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003107,Rangwala,Engineer Materials,,Charotar Publication,2000,539,624,eng,SCGRANT,SCGRANT,Civil Engineering,95,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003108,Ballaney,Thermal Engineers,,Khanna Publication,2000,1506,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003109,Joshi.Mahajan,Process Equipment Design,,Macmillan,2000,472,624,eng,SCGRANT,SCGRANT,Civil Engineering,295,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003110,Chatterjee,Dynamics,,Raj House,1999,-,624,eng,SCGRANT,SCGRANT,Civil Engineering,95,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003111,Subramanyam,Optics,,S. Chand Publication,1999,718,600,eng,SCGRANT,SCGRANT,Applied Science,100,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003112,"Khurmi, R.S.",Strength of Materials,,S. Chand Publication,1998,986,624,eng,SCGRANT,SCGRANT,Civil Engineering,135,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003113,Krayszig,Advanced Engineering Mathematics,,Willey Publication,1995,988,600,eng,SCGRANT,SCGRANT,Applied Science,295,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003114,Agarwal,2000 Indian Economy,,Wishwa Products,2000,738,1.3,eng,SCGRANT,SCGRANT,Humaniites,210,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003115,Korth,Database System & Concepts,,McGraw Hill,1997,821,4,eng,SCGRANT,SCGRANT,Computer Science,321.75,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003116,Raghvan V.,Material Science & Engineering,,Prentice Hall of India,1999,434,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,150,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003117,Millman,Pulse Digital & Switching Waveforms,,Tata McGraw Hill,1999,950,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,260,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003118,Millman,Electronics Devices & Circuits,,Tata McGraw Hill,1999,752,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,210,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003119,Joshi.,Foundation Of Discrete Mathmatics,,New Age Publication,2000,748,600,eng,SCGRANT,SCGRANT,Applied Science,275,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003120,Samuelson,Economics,,Tata McGraw Hill,1999,781,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003121,Tripathi,Principles Of Managements,,Tata McGraw Hill,1998,323,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003122,Lucas,Information Technologies for Management,,McGraw Hill,-,714,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,816.75,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003123,Raghuvanshi B.S.,Workshop Technology,,Dhanpat Rai,2000,708,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,85,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003124,O. Prasad,Diff. Calculus,,Pothishala Publication,1992,352,600,eng,SCGRANT,SCGRANT,Applied Science,50,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003125,O. Prasad,Integral Calculas,,Pothishala Publication,1996,348,600,eng,SCGRANT,SCGRANT,Applied Science,60,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003126,Mittal G.K.,Network Analysis,,Khanna Publication,1998,1076,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,130,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003127,Tripathi,Industrial Reation & Labour Laws,,Pothishala Publication,1996,2.497,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,100,INR,6/26/2001,1339,Reference,Reference Section,NFIC,APS,
SC003128,Banga/Sharma,Mechanical Estimating & Costing,,Khanna Publication,1999,462,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,65,INR,6/26/2001,1339,Reference,Reference Section,NFIC,APS,
SC003129,Terry/ Frankelin,Principles Of Managements,,A.I.T.B.S.,1997,614,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003130,"Ryder, J.D.",Network Lines & Fields,,Prentice Hall of India,1999,591,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,150,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003131,"Khurmi, R.S.",Engineer Mechanics,,S. Chand Publication,1998,840,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,120,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003132,Gupta,Modern Physics,,Dhanpat Rai,1997,628,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,80,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003133,Soni/Gupta,Electronics Circuits Analysis,,Dhanpat Rai,2000,141,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,145,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003134,Gupta/Kumar,Practical Physics,,Pragati Prakash,1999,175,600,eng,SCGRANT,SCGRANT,Applied Science,135,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003135,Not Entry,Not Entry,,Not Entry,-,-,-,eng,SCGRANT,SCGRANT,Not Entry,,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003136,Smith,Introduction To Chemical Engineering,,McGraw Hill,1996,761,660,eng,SCGRANT,SCGRANT,Chemical Engineering,495.5,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003137,Bhatt/ Vore,Stoichlmetry,,Tata McGraw Hill,1996,642,660,eng,SCGRANT,SCGRANT,Chemical Engineering,210,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003138,"Himmelblan, D.M.",Basic Principle & Calculation In Chemical Engineering,,Prentice Hall of India,2000,725,660,eng,SCGRANT,SCGRANT,Chemical Engineering,350,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003139,Dryden's,Outlines Of Chemical Technology,,East West Press,2001,802,660,eng,SCGRANT,SCGRANT,Chemical Engineering,325,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003140,Ramamruthan S.,Basic Civil Engineering,,Dhanpat Rai,2001,601,624,eng,SCGRANT,SCGRANT,Civil Engineering,165,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003141,Sharma,Business Correspondence & Report Writing,,Tata McGraw Hill,2000,322,1.3,eng,SCGRANT,SCGRANT,Humaniites,135,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003142,Mahajan M.,Industral Engineering & Production Management,,Dhanpat Rai,2001,784,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,160,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003143,Domkundwar,Heat & Mass Transfer,,Dhanpat Rai,2000,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,200,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003144,Mahajan M.,S.Q.C.,,Dhanpat Rai,2001,462,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,95,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003145,Gupta,S.Q.C.,,Khanna Publication,1999,1413,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,190,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003146,"Kenetkar, Y.",Understanding Pointers In C,,BPB,1997,311,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003147,Balagurusamy,Programming In ANSI C,,Tata McGraw Hill,2000,411,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003148,"Taxali, R.K.",Fox Pro 2.5,,BPB,1996,589,4,eng,SCGRANT,SCGRANT,Computer Science,165,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003149,Hwang/ Briggs,Computer Architecture & Parellal Processing,,McGraw Hill,1984,846,4,eng,SCGRANT,SCGRANT,Computer Science,385.95,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003150,Mishra,Theory Of Computer Science,,Prentice Hall of India,2000,304,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003151,Rafiquzyman,Modern Computer Architecture,,Galgotia Publication,2000,410,4,eng,SCGRANT,SCGRANT,Computer Science,125,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003152,S.D. Sharma,Operation Research,,Keda Nathco,2000,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,290,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003153,"Venugopal, K.",Engineering Drawing & GraPrentice Hall of Indiacs Auto CAD,,New Age Publication,1998,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003154,Sharma,Mech. Vibrations Analysis,,Khanna Publication,1996,179,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,25,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003155,Keshan,An Engineering Approach To Computer Networking,,P.E.A.,2001,660,4,eng,SCGRANT,SCGRANT,Computer Science,280,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003156,Folley,Computer GraPrentice Hall of Indiacs,,Addison wesely,2000,1174,4,eng,SCGRANT,SCGRANT,Computer Science,450,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003157,Techmedia,Tech Yourself Active Seven Pages 20,,Techmedia,1999,724,4,eng,SCGRANT,SCGRANT,Computer Science,270,INR,9/29/2001,1617,BK,General Section,NFIC,APS,
SC003158,Kumar,Indian Society & Social Insitution,,Laxmi Publication,2000,336,1.3,eng,SCGRANT,SCGRANT,Humaniites,65,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003159,Vatryayan,Rural Society & Social Institution,,Kedar Nath,-,268,1.3,eng,SCGRANT,SCGRANT,Humaniites,50,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003160,Kumar,Rural sociology,,Laxmi Publication Agarwal,95-96,283,1.3,eng,SCGRANT,SCGRANT,Humaniites,50,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003161,Morse,Mechanical Vibration,,CBS,1998,449,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,100,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003162,K. Singh,Automobile Engineering -I,,Standard Publication,1999,708,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003163,K. Singh,Automobile Engineering -II,,Standard Publication,2000,680,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,130,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003164,Rao,Computer Aided Manufacturing,,Tata McGraw Hill,1999,415,4,eng,SCGRANT,SCGRANT,Computer Science,195,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003165,Kumar,Heat & Mass Transfer,,S K Kataria,2000,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,165,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003166,Srinivashan S.,Automotive Mechanics,,Tata McGraw Hill,1990,235,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,105,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003167,B. Ram.,Computer Fundamentals Architecture,,New Age Publication,2000,-,4,eng,SCGRANT,SCGRANT,Computer Science,220,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003168,Goyal,Office 2000,,Ravi,2000,447,4,eng,SCGRANT,SCGRANT,Computer Science,185,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003169,N.K.Sinha,Control system,,Willey Publication,1995,487,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,09-05-2001,1554,BK,General Section,NFIC,APS,
SC003170,Somsundaram,Thermal Engineering,,New Age Publication,1996,456,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003171,Suri/ Chhabra,Management Function & Behaviour,,Kitab Mahal,1999,704,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003172,Soni/Gupta,A Course In Electro Circuits Analysis,,Dhanpat Rai,-,-,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,135,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003173,Bhatt,Engineering Drawing,,Charotar Publication,2000,600,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003174,Joshi,Foundation Of Discrete Mathmatics,,New Age Publication,2000,748,600,eng,SCGRANT,SCGRANT,Applied Science,275,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003175,Meredith,Project Management,,John Willey Publication,2000,616,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,373.5,INR,09-05-2001,1553,BK,General Section,NFIC,APS,3
SC003176,Patel,Expert Data Structure With C,,Khanna Publication,-,-,4,eng,SCGRANT,SCGRANT,Computer Science,295,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003177,Bhatia,Business Communication,,Khanna Publication,-,-,1.3,eng,SCGRANT,SCGRANT,Humaniites,,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003178,Rahmel,Interfacing To The Power PC Microprocessing,,Prentice Hall of India,1996,-,4,eng,SCGRANT,SCGRANT,Computer Science,195,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003179,Kochan,Unix Networking,,Prentice Hall of India,1995,-,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,09-05-2001,1553,BK,General Section,NFIC,APS,
SC003180,Sibberhatz,Operationg Systems Concepts,,Willey Publication,2000,-,4,eng,SCGRANT,SCGRANT,Computer Science,448.2,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003181,Bertsekar,Data Network,,Prentice Hall of India,2000,556,4,eng,SCGRANT,SCGRANT,Computer Science,175,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003182,Hoperoft,Introducton To Autometa Theory Language Computation,,Narosa Pubication,2000,415,4,eng,SCGRANT,SCGRANT,Computer Science,190,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003183,Stallings,Computer Organization & Architeture,,Prentice Hall of India,1999,682,4,eng,SCGRANT,SCGRANT,Computer Science,225,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003184,Tanenbaum A.,Computer Networks,,Prentice Hall of India,1999,813,4,eng,SCGRANT,SCGRANT,Computer Science,195,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003185,Stroustrap,C++ Programming Language,,Addison wesely,1999,910,4,eng,SCGRANT,SCGRANT,Computer Science,575,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003186,"Weiss, M.A.",Data Structure & Algorithms Analysis,,Addison wesely,1999,498,4,eng,SCGRANT,SCGRANT,Computer Science,260,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003187,Tanenbaum A.,Data Structure Using C And C++,,Prentice Hall of India,1999,672,4,eng,SCGRANT,SCGRANT,Computer Science,195,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003188,Patel/ Rauthan,Expert Data Structure With C++,,Khanna Publication,2000,658,4,eng,SCGRANT,SCGRANT,Computer Science,250,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003189,Stevens,Unix Network Programming,,Addison wesely,1999,1009,4,eng,SCGRANT,SCGRANT,Computer Science,425,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003190,Stevens,Unix Network Programming-II,,Addison wesely,1999,558,4,eng,SCGRANT,SCGRANT,Computer Science,295,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003191,Rangwala,Building Construction,,Charotar Publication,2000,831,624,eng,SCGRANT,SCGRANT,Civil Engineering,140,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003192,Rangwala,Engineering Materials,,Charotar Publication,2000,539,624,eng,SCGRANT,SCGRANT,Civil Engineering,95,INR,09-05-2001,1555,BK,General Section,NFIC,APS,
SC003193,"Adam, E.E.",Production & Operation Management,,Prentice Hall of India,1999,729,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003194,"Sawhney, A.K.",Electrical & Electronic Measurements & Instrumentation,,Dhanpat Rai,2001,1542,621.38,eng,SCGRANT,SCGRANT,Electrical Engineering,250,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003195,Smith,Introduction To Chemical Engineering,,McGraw Hill,1996,763,660,eng,SCGRANT,SCGRANT,Chemical Engineering,504.5,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003196,Bhatt,Stoichiometry,,Tata McGraw Hill,1997,642,660,eng,SCGRANT,SCGRANT,Chemical Engineering,210,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003197,"Austin, G.T.",Shreve's Chemical Process industries,,McGraw Hill,-,859,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1062.15,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003198,Dryden's,Outlines Of Chemical Technology,,East-West,2001,802,660,eng,SCGRANT,SCGRANT,Chemical Engineering,295,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003199,"Himmelblan, D.M.",Basic Principle & Calculation In Chemical Engineering,,Prentice Hall of India,2000,730,660,eng,SCGRANT,SCGRANT,Chemical Engineering,350,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003200,Awad. E.M.,System Analysis & Design,,Galgotia Publication,2001,524,4,eng,SCGRANT,SCGRANT,Computer Science,200,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003201,Hwang K.,Computer Architecture & Parellal Processing,,McGraw Hill,-,846,4,eng,SCGRANT,SCGRANT,Computer Science,392.95,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003202,"Botton, W.",Mechatronics,,Addison wesely,1999,541,4,eng,SCGRANT,SCGRANT,Computer Science,295,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003203,Mahadevan K.,Design Data Hand Book,,CBS,2000,453,4,eng,SCGRANT,SCGRANT,Computer Science,165,INR,11/21/2001,1726,BK,General Section,NFIC,APS,
SC003204,Abdulla/Shariff,H.B. Of Properties Of Materials & Design,,Dhanpat Rai,1999,-,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003205,Tanenbaum A.,Structured Computer Organization,,Prentice Hall of India,2001,669,624,eng,SCGRANT,SCGRANT,Civil Engineering,225,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003206,"Brown, S",Visual Basic-6,,BPB,1998,659,4,eng,SCGRANT,SCGRANT,Computer Science,275,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003207,Hart- Davis,VBA-6 Mastering,,BPB,2000,669,4,eng,SCGRANT,SCGRANT,Computer Science,349,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003208,Oualline,When You Need On The Spot Answers Tecg,,I.D.G. India,2000,383,1.3,eng,SCGRANT,SCGRANT,Humaniites,329,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003209,V.Singh,Heat Treatment Of Metals,,Standard Publication,1998,588,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,200,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003210,Khanna Publication,Digital Signal Processing Telecommunication,,Wheeler,1999,640,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,300,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003211,Techmedia,Dynamics Web Publishing,,Techmedia,1998,844,4,eng,SCGRANT,SCGRANT,Computer Science,300,INR,11/21/2001,1727,BK,General Section,NFIC,APS,
SC003212,Ram Kumar,Programming With Fortran 77,,Tata McGraw Hill,1999,386,4,eng,SCGRANT,SCGRANT,Computer Science,160,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003213,Malvino,Digital Principle & Application,,Tata McGraw Hill,1999,540,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,199,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003214,Malvino,Electronic Principle,,Tata McGraw Hill,1999,1012,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,365,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003215,Nagrath/Gopal,Control System Engineering,,New Age Publication,1999,826,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,240,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003216,Balagurusamy,Object Oriented Programming With C++,,Tata McGraw Hill,2001,533,4,eng,SCGRANT,SCGRANT,Computer Science,165,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003217,Pradeep Kumar,Production Management,,Kedar Nath,2007,126,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003218,L.M. Prasad,Organisational Behaviour,,Sultan Chand,1999,550,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,85,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003219,Pradeep Kumar,Elements Of Financial Management,,Kedar Nath,1999,560,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,100,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003220,Khan/Jain,Financial Management,,Tata McGraw Hill,1999,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,245,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003221,"Srivastava,S.K.",Industrial Maintenance Management,,S.Chand Publication,1998,234,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003222,"Krejewski,L .J.",Operation Management,,Pearson Education,2000,880,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003223,PSG,PSG.,,DPV Printer,-,-,4,eng,SCGRANT,SCGRANT,Computer Science,275,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003224,Tanenbaum A.,Computer Networks,,Prentice Hall of India,2001,813,4,eng,SCGRANT,SCGRANT,Computer Science,250,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003225,Mano,Computer System Architecture,,Prentice Hall of India,1999,525,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,11/21/2001,1725,BK,General Section,NFIC,APS,
SC003226,Kuo.F.F.,Network Aalysis Synthesis,,John Willey Publication,2001,515,4,eng,SCGRANT,SCGRANT,Computer Science,304,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003227,Elmasri,Fundamentals Of Database System,,Pearson Education,2001,955,4,eng,SCGRANT,SCGRANT,Computer Science,350,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003228,Arora K.C.,TQM And ISO 14000,,S K Kataria,1998,736,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003229,Sharma/Agarwal,Machine Design,,S K Kataria,1999,375,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003230,Thereja B.C.,Electrical Technology,,S.Chand Publication,2001,1325,621.3,eng,SCGRANT,SCGRANT,Electrical Engineering,160,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003231,"Grewal, B.S.",Higher Engineering Mathmatics,,Khanna Publication,2001,1222,600,eng,SCGRANT,SCGRANT,Applied Science,265,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003232,"Venugopal, K.",Mastering C++,,Tata McGraw Hill,2001,804,4,eng,SCGRANT,SCGRANT,Computer Science,255,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003233,Jim Conge,Windows Programming Primer Plus,,Galgotia Publication,2001,714,600,eng,SCGRANT,SCGRANT,Applied Science,270,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003234,Gaur/Gupta,Engineering Physics,,Dhanpat Rai,2001,-,600,eng,SCGRANT,SCGRANT,Applied Science,225,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003235,Mano M.M.,Digital Logic and Computer Design,,Prentice Hall of India,2001,612,4,eng,SCGRANT,SCGRANT,Computer Science,195,INR,11/21/2001,1724,BK,General Section,NFIC,APS,
SC003236,Banga/Sharma,Mechanical Estimating Costing,,Khanna Publication,2001,579,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,85,INR,11/21/2001,1723,BK,General Section,NFIC,APS,
SC003237,Raghuvanshi B.S.,W/T,,Dhanpat Rai,2001,708,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,100,INR,11/21/2001,1723,BK,General Section,NFIC,APS,
SC003238,Subramanyam,Optics,,S.Chand Publication,2000,718,600,eng,SCGRANT,SCGRANT,Applied Science,125,INR,11/21/2001,1723,BK,General Section,NFIC,APS,
SC003239,Ghuraiys N.S.,Basic Civil Engineering,,Shivani Pub.,2001,247,624,eng,SCGRANT,SCGRANT,Civil Engineering,90,INR,11/21/2001,1723,BK,General Section,NFIC,APS,
