barcode,author,title,volume,publisher,copyright,pages,classificationnumber,language,stockhead,issueinglibrary,subject,price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
SC##000001,Balleny,Heat Engines,,Khanna,1969,842p,,,,SCGRANT,,20,,,,,,,,
SC##000002,Panday and Shah,Machine Design,,BS,1967,716p,,,,SCGRANT,,17.5,,,,,,,,
SC##000003,Pandey and Patel,Machine Design,,Acharya Book,1968,373p,,,,SCGRANT,,10,,,,,,,,
SC##000004,Pandey and Patel,Machine Design,,Depot Baroda,1968,372p,,,,SCGRANT,,10,,,,,,,,
SC##000005,Jagdish Lal,Hydraulic Machines,,Metropoleta,1969,631p,,,,SCGRANT,,17.5,,,,,,,,
SC##000006,Alam singh,Soil Engineering,,Aph,1967,805p,,,,SCGRANT,,36,,,,,,,,
SC##000007,Purnima BC,Irrigation and Water Power,,SPD,1969,684p,,,,SCGRANT,,21,,,,,,,,
SC##000008,Arya and Ajmani,Design of Steel Structure,,NCB,1967,735p,,,,SCGRANT,,20,,,,,,,,
SC##000009,BC Punia and Goyal,Strength of Material,,SPD,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000010,BC Punia and Goyal,Strength of Material,,SPD,1968,568p,,,,SCGRANT,,20,,,,,,,,
SC##000011,Taylor,Engineering Design,,Pitman,1961,137p,,,,SCGRANT,,24.75,,,,,,,,
SC##000012,Low,Pocket Book for Mech Engineers,,Longman,1955,778p,,,,SCGRANT,,17.5,,,,,,,,
SC##000013,Low,Heat Engine,,Longman,1963,592p,,,,SCGRANT,,25,,,,,,,,
SC##000014,Kuo,Automatic Control System,,Prentuittall,1967,523p,,,,SCGRANT,,23,,,,,,,,
SC##000015,Desh Pandey,Power Station Design,,Pitman,1966,366p,,,,SCGRANT,,24.75,,,,,,,,
SC##000016,Ryder,Engineering Electronics,,IES Mug,1967,690p,,,,SCGRANT,,33.75,,,,,,,,
SC##000017,Terman and Pettit,Rlectronie Measurement,,Meg Asion,1952,707p,,,,SCGRANT,,30,,,,,,,,
SC##000018,Doughty,Design of Machine Meanless,,Meg Asian,1951,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000019,Lewitt,Heat Engine,,Hitman,1965,890p,,,,SCGRANT,,20.7,,,,,,,,
SC##000020,Terman,Electronics and Radio Engineer,,Meg Asian,1955,1078p,,,,SCGRANT,,37.5,,,,,,,,
SC##000021,Verma,Power Plant Engineering,,Metro BC,1969,302p,,,,SCGRANT,,13.5,,,,,,,,
SC##000022,Sehgal,Soil Machanics,,Metro BC,1968,503p,,,,SCGRANT,,20,,,,,,,,
SC##000023,Uppal,Electrical Power,,Khanna,1968,1691p,,,,SCGRANT,,28.75,,,,,,,,
SC##000024,Cotton,Advance Electronic Technology,,Rl BS Pit,1967,1293p,,,,SCGRANT,,8,,,,,,,,
SC##000025,Taylor,Nuclear Power Plant,,GNL,1959,184p,,,,SCGRANT,,30,,,,,,,,
SC##000026,Maleev,JC Engine,,Tmh,1933,636p,,,,SCGRANT,,29.25,,,,,,,,
SC##000027,Maleev,JC Engine,,Tmh,1933,636p,,,,SCGRANT,,29.25,,,,,,,,
SC##000028,Maleen,JC Engine,,Tmh,1933,636p,,,,SCGRANT,,29.25,,,,,,,,
SC##000029,Dalela and Mansoon Ali,Industrial Engineering,,SP,1969,668p,,,,SCGRANT,,14,,,,,,,,
SC##000030,Dalela and Mansoon Ali,Industrial Engineering,,SP,1969,668p,,,,SCGRANT,,14,,,,,,,,
SC##000031,Dalela and Mansoon Ali,Industrial Engineering,,SP,1969,668p,,,,SCGRANT,,14,,,,,,,,
SC##000032,Dalela and Mansoon Ali,Industrial Engineering,,SP,1969,668p,,,,SCGRANT,,14,,,,,,,,
SC##000033,Dalela and Mansoon Ali,Industrial Engineering,,SP,1969,668p,,,,SCGRANT,,14,,,,,,,,
SC##000034,Vention Levy and Doughti,Mc Design,,Tmh,1964,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000035,Vention Levy and Doughti,Mc Design,,Tmh,1964,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000036,Vention Levy and Doughti,Mc Design,,Tmh,1964,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000037,Vention Levy and Doughti,Mc Design,,Tmh,1964,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000038,Vention Levy and Doughti,Mc Design,,Tmh,1964,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000039,Hazra and Choudhary,Workshop Technology,,Asia Publication,1970,572p,,,,SCGRANT,,16,,,,,,,,
SC##000040,Hazra and Choudhary,Workshop Technology,,Asia Publication,1970,572p,,,,SCGRANT,,16,,,,,,,,
SC##000041,Hazra and Choudhary,Workshop Technology,,Asia Publication,1970,572p,,,,SCGRANT,,16,,,,,,,,
SC##000042,HELDT,High Speed Conbustion Engines,,Oxford,1969,805p,,,,SCGRANT,,15,,,,,,,,
SC##000043,HELDT,High Speed Conbustion Engines,,Oxford,1969,805p,,,,SCGRANT,,15,,,,,,,,
SC##000044,Modi and Seth,Hydrolic and Hydrolic Mechanics,,Standard,1968,856p,,,,SCGRANT,,20,,,,,,,,
SC##000045,Modi and Seth,Hydrolic and Hydrolic Mechanics,,Standard,1968,856p,,,,SCGRANT,,20,,,,,,,,
SC##000046,Modi and Seth,Hydrolic and Hydrolic Mechanics,,Standard,1968,856p,,,,SCGRANT,,20,,,,,,,,
SC##000047,Modi and Seth,Hydrolic and Hydrolic Mechanics,,Standard,1968,856p,,,,SCGRANT,,20,,,,,,,,
SC##000048,Modi and Seth,Hydrolic and Hydrolic Mechanics,,Standard,1968,856p,,,,SCGRANT,,20,,,,,,,,
SC##000049,Khanna and Justo,Highway Engineering,,NC and B,1971,678p,,,,SCGRANT,,22.5,,,,,,,,
SC##000050,Khanna and Justo,Highway Engineering,,NC and B,1971,678p,,,,SCGRANT,,22.5,,,,,,,,
SC##000051,Vaswani,Railway Engineering,,PH,1966,264p,,,,SCGRANT,,9,,,,,,,,
SC##000052,Vaswani,Railway Engineering,,PH,1966,264p,,,,SCGRANT,,9,,,,,,,,
SC##000053,Vaswani,Railway Engineering,,PH,1966,264p,,,,SCGRANT,,9,,,,,,,,
SC##000054,Vaswani,Railway Engineering,,PH,1966,264p,,,,SCGRANT,,9,,,,,,,,
SC##000055,Khanna and Arora,Airport Planning and Design,,NC and BR,1969,331p,,,,SCGRANT,,11.25,,,,,,,,
SC##000056,Varshney,Theory and Design of Irrigation Structure,,NC and BR,1969,632p,,,,SCGRANT,,25,,,,,,,,
SC##000057,Varshney,Theory and Design of Irrigation Structure,,NC and BR,1969,632p,,,,SCGRANT,,25,,,,,,,,
SC##000058,Arya and Ajmani,Design of Steel Structure,,NC and BR,1967,735p,,,,SCGRANT,,21.25,,,,,,,,
SC##000059,Arya and Ajmani,Design of Steel Structure,,NC and BR,1967,735p,,,,SCGRANT,,21.25,,,,,,,,
SC##000060,Rama Murthani,Design of RC Structure,,Dhanpat Rai,1971,883p,,,,SCGRANT,,25,,,,,,,,
SC##000061,Rama Murthani,Design of RC Structure,,Dhanpat Rai,1971,883p,,,,SCGRANT,,25,,,,,,,,
SC##000062,Rama Murthani,Design of RC Structure,,Dhanpat Rai,1971,883p,,,,SCGRANT,,25,,,,,,,,
SC##000063,Rama Murthani,Design of RC Structure,,Dhanpat Rai,1971,883p,,,,SCGRANT,,25,,,,,,,,
SC##000064,Chu Kia Wang,Statically Indeterminal Structure,,Tmh,1953,424p,,,,SCGRANT,,23.25,,,,,,,,
SC##000065,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,15,,,,,,,,
SC##000066,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,15,,,,,,,,
SC##000067,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,15,,,,,,,,
SC##000068,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,15,,,,,,,,
SC##000069,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,15,,,,,,,,
SC##000070,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,18.5,,,,,,,,
SC##000071,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,18.5,,,,,,,,
SC##000072,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,18.5,,,,,,,,
SC##000073,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,18.5,,,,,,,,
SC##000074,Jagdeesh Lal,Hydrolics and Fluid Mechanics,,Mbc,1971,631p,,,,SCGRANT,,18.5,,,,,,,,
SC##000075,Goyal and Punmiya,Strength of Material and Energy of Strength,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000076,Goyal and Punmiya,Strength of Material and Energy of Strength,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000077,Goyal and Punmiya,Strength of Material and Energy of Strength,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000078,Goyal and Punmiya,Strength of Material and Energy of Strength,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000079,Soni Gupta,Electrical Circuits and Fields,,Dhanpat Rai,1968,575p,,,,SCGRANT,,22.5,,,,,,,,
SC##000080,Soni Gupta,Electrical Circuits and Fields,,Dhanpat Rai,1968,575p,,,,SCGRANT,,22.5,,,,,,,,
SC##000081,Mithal,Applied Electronics,,Khanna p,1971,1182p,,,,SCGRANT,,25,,,,,,,,
SC##000082,Mithal,Applied Electronics,,Khanna p,1971,1182p,,,,SCGRANT,,25,,,,,,,,
SC##000083,Benson and Harrison,Electronic Circuit Theory,,Elbs,1965,402p,,,,SCGRANT,,10.8,,,,,,,,
SC##000084,Benson and Harrison,Electronic Circuit Theory,,Elbs,1965,402p,,,,SCGRANT,,10.8,,,,,,,,
SC##000085,Rang wala,Building Construction,,Cbs,1968,352p,,,,SCGRANT,,10,,,,,,,,
SC##000086,Balleny,Heat Engine,,Khanna p,1971,586p,,,,SCGRANT,,22.5,,,,,,,,
SC##000087,Balleny,Heat Engine,,Khanna p,1971,586p,,,,SCGRANT,,22.5,,,,,,,,
SC##000088,Balleny,Heat Engine,,Khanna p,1971,586p,,,,SCGRANT,,22.5,,,,,,,,
SC##000089,Balleny,Heat Engine,,Khanna p,1971,586p,,,,SCGRANT,,22.5,,,,,,,,
SC##000090,Nayak,Engineering Metallurgy,,Cbs,1970,560p,,,,SCGRANT,,17.5,,,,,,,,
SC##000091,Nayak,Engineering Metallurgy,,Cbs,1970,560p,,,,SCGRANT,,17.5,,,,,,,,
SC##000092,Nayak,Engineering Metallurgy,,Cbs,1970,560p,,,,SCGRANT,,17.5,,,,,,,,
SC##000093,Khurmi,Applied Mechanics,,Prakash,1970,659p,,,,SCGRANT,,17.5,,,,,,,,
SC##000094,Khurmi,Applied Mechanics,,Prakash,1970,659p,,,,SCGRANT,,17.5,,,,,,,,
SC##000095,BLShareja,Electrical Tenchnology,,Prakashu,1971,1832p,,,,SCGRANT,,32,,,,,,,,
SC##000096,Punmiya,Surveying and Field Work,,Sbd,1966,468p,,,,SCGRANT,,11.5,,,,,,,,
SC##000097,Punmiya,Surveying and Field Work,,Sbd,1966,468p,,,,SCGRANT,,11.5,,,,,,,,
SC##000098,Parkev Smith,Problem in Electrical Engineering,,Aph,1968,370p,,,,SCGRANT,,10,,,,,,,,
SC##000099,Parkev Smith,Problem in Electrical Engineering,,Aph,1968,370p,,,,SCGRANT,,10,,,,,,,,
SC##000100,GR Singhal,Physics,,UBD,1968,776p,,,,SCGRANT,,15,,,,,,,,
SC##000101,Taylor,Design of ac Cormutaters and Motors,,AHW AND C,1971,350p,,,,SCGRANT,,17.5,,,,,,,,
SC##000102,Taylor,Design of ac Cormutaters and Motors,,AHW AND C,1971,350p,,,,SCGRANT,,17.5,,,,,,,,
SC##000103,Taylor,Design of ac Cormutaters and Motors,,AHW AND C,1971,350p,,,,SCGRANT,,17.5,,,,,,,,
SC##000104,Taylor,Design of ac Cormutaters and Motors,,AHW AND C,1971,350p,,,,SCGRANT,,17.5,,,,,,,,
SC##000105,Uppal,Electrical Wiring Estimating and Costing,,Khanna,1968,333p,,,,SCGRANT,,12.5,,,,,,,,
SC##000106,Uppal,Electrical Wiring Estimating and Costing,,Khanna,1968,333p,,,,SCGRANT,,12.5,,,,,,,,
SC##000107,Rydav,Electronic Fundamental And Application,,PHI,1969,693p,,,,SCGRANT,,17.5,,,,,,,,
SC##000108,Patel,Heat Transfer,,ABD,1969,152p,,,,SCGRANT,,5,,,,,,,,
SC##000109,Patel,Heat Transfer,,ABD,1969,152p,,,,SCGRANT,,5,,,,,,,,
SC##000110,Patel,Heat Transfer,,ABD,1969,152p,,,,SCGRANT,,5,,,,,,,,
SC##000111,Patel,Heat Transfer,,ABD,1969,152p,,,,SCGRANT,,5,,,,,,,,
SC##000112,Vazirani and Ratwani,Analysis of Structure,,Khanna,1970,637p,,,,SCGRANT,,17,,,,,,,,
SC##000113,Vazirani and Ratwani,Analysis of Structure,,Khanna,1970,637p,,,,SCGRANT,,17,,,,,,,,
SC##000114,Ballaney,Theory of Machine,,Khanna,1970,1026p,,,,SCGRANT,,21.75,,,,,,,,
SC##000115,Ballaney,Theory of Machine,,Khanna,1970,1026p,,,,SCGRANT,,21.75,,,,,,,,
SC##000116,Ballaney,Theory of Machine,,Khanna,1970,1026p,,,,SCGRANT,,21.75,,,,,,,,
SC##000117,Uppal,Electrical Wiring Estimating,,Khanna,1968,333p,,,,SCGRANT,,12.5,,,,,,,,
SC##000118,Uppal,Electrical Wiring Estimating,,Khanna,1968,333p,,,,SCGRANT,,12.5,,,,,,,,
SC##000119,VLMaleev,IC Engine,,Tmh,1945,636p,,,,SCGRANT,,29.25,,,,,,,,
SC##000120,VLMaleev,IC Engine,,Tmh,1945,636p,,,,SCGRANT,,29.25,,,,,,,,
SC##000121,Punmia and Goyal,Surveying and Field Works,,SBD,1966,468p,,,,SCGRANT,,11.5,,,,,,,,
SC##000122,Punmia and Goyal,Surveying and Field Works,,SBD,1966,468p,,,,SCGRANT,,11.5,,,,,,,,
SC##000123,Punmia and Goyal,Surveying and Field Works,,SBD,1966,468p,,,,SCGRANT,,11.5,,,,,,,,
SC##000124,Soni Gupta and Gupta,Electrical Circuits and Fields,,DR and Sons,1968,575p,,,,SCGRANT,,22.5,,,,,,,,
SC##000125,Soni Gupta and Gupta,Electrical Circuits and Fields,,DR and Sons,1968,575p,,,,SCGRANT,,22.5,,,,,,,,
SC##000126,Rangwala,Building Construction,,Charatar BS,1966,352p,,,,SCGRANT,,10,,,,,,,,
SC##000127,Rangwala,Building Construction,,Charatar BS,1966,352p,,,,SCGRANT,,10,,,,,,,,
SC##000128,Rangwala,Building Construction,,Charatar BS,1966,352p,,,,SCGRANT,,10,,,,,,,,
SC##000129,Rangwala,Building Construction,,Charatar BS,1966,352p,,,,SCGRANT,,10,,,,,,,,
SC##000130,Rangwala,Building Construction,,Charatar BS,1966,352p,,,,SCGRANT,,10,,,,,,,,
SC##000131,Punmia and Goyal,SL of Material and Theory of Structure,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000132,Punmia and Goyal,SL of Material and Theory of Structure,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000133,Punmia and Goyal,SL of Material and Theory of Structure,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000134,Punmia and Goyal,SL of Material and Theory of Structure,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000135,Punmia and Goyal,SL of Material and Theory of Structure,,Standard,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000136,Heldt,High Speed Combustion Engines,,Oxford Ibh,1969,805p,,,,SCGRANT,,15,,,,,,,,
SC##000137,Heldt,High Speed Combustion Engines,,Oxford Ibh,1969,805p,,,,SCGRANT,,15,,,,,,,,
SC##000138,Heldt,High Speed Combustion Engines,,Oxford Ibh,1969,805p,,,,SCGRANT,,15,,,,,,,,
SC##000139,Heldt,High Speed Combustion Engines,,Oxford Ibh,1969,805p,,,,SCGRANT,,15,,,,,,,,
SC##000140,Hughes,Electrical Technology,,ELBS,1964,732p,,,,SCGRANT,,6.75,,,,,,,,
SC##000141,Hughes,Electrical Technology,,ELBS,1964,732p,,,,SCGRANT,,6.75,,,,,,,,
SC##000142,Hughes,Electrical Technology,,ELBS,1964,732p,,,,SCGRANT,,6.75,,,,,,,,
SC##000143,Ray and Sharma,Higher Alzebra,,Chand and Co,1969,316p,,,,SCGRANT,,6,,,,,,,,
SC##000144,Ray and Sharma,Higher Alzebra,,Chand and Co,1969,316p,,,,SCGRANT,,6,,,,,,,,
SC##000145,Ray and Sharma,Higher Alzebra,,Chand and Co,1969,316p,,,,SCGRANT,,6,,,,,,,,
SC##000146,Ray and Sharma,Higher Alzebra,,Chand and Co,1969,316p,,,,SCGRANT,,6,,,,,,,,
SC##000147,Ray and Sharma,Higher Alzebra,,Chand and Co,1969,316p,,,,SCGRANT,,6,,,,,,,,
SC##000148,HCotton,Advance Electrical Technology,,Lbs,1967,1293p,,,,SCGRANT,,18,,,,,,,,
SC##000149,HCotton,Advance Electrical Technology,,Lbs,1967,1293p,,,,SCGRANT,,18,,,,,,,,
SC##000150,PLBallney,Heat Engines,,Khanna,1971,986p,,,,SCGRANT,,22.5,,,,,,,,
SC##000151,PLBallney,Heat Engines,,Khanna,1971,986p,,,,SCGRANT,,22.5,,,,,,,,
SC##000152,PLBallney,Heat Engines,,Khanna,1971,986p,,,,SCGRANT,,22.5,,,,,,,,
SC##000153,PLBallney,Heat Engines,,Khanna,1971,986p,,,,SCGRANT,,22.5,,,,,,,,
SC##000154,Chandrika Prasad,Higher Alzebra,,Othishala,1970,316p,,,,SCGRANT,,9,,,,,,,,
SC##000155,Chandrika Prasad,Higher Alzebra,,Othishala,1970,316p,,,,SCGRANT,,9,,,,,,,,
SC##000156,Chandrika Prasad,Higher Alzebra,,Othishala,1970,316p,,,,SCGRANT,,9,,,,,,,,
SC##000157,Chandrika Prasad,Higher Alzebra,,Othishala,1970,316p,,,,SCGRANT,,9,,,,,,,,
SC##000158,Chandrika Prasad,Higher Alzebra,,Othishala,1970,316p,,,,SCGRANT,,9,,,,,,,,
SC##000159,PNWartikar,Applied Mathematics,,Vgp,1970,600p,,,,SCGRANT,,17,,,,,,,,
SC##000160,PNWartikar,Applied Mathematics,,Vgp,1970,600p,,,,SCGRANT,,17,,,,,,,,
SC##000161,Ryder,Engineering electronics,,TMH,1967,690p,,,,SCGRANT,,36.75,,,,,,,,
SC##000162,Ryder,Engineering electronics,,TMH,1967,690p,,,,SCGRANT,,36.75,,,,,,,,
SC##000163,Ryder,Engineering electronics,,TMH,1967,690p,,,,SCGRANT,,36.75,,,,,,,,
SC##000164,Gj kuekarani,Engineering Materials,,ABD,1968,383p,,,,SCGRANT,,7.5,,,,,,,,
SC##000165,Gj kuekarani,Engineering Materials,,ABD,1968,383p,,,,SCGRANT,,7.5,,,,,,,,
SC##000166,Kn gupta and kaushish,W/S Technology,,New heights,1967,468p,,,,SCGRANT,,14,,,,,,,,
SC##000167,Kn gupta and kaushish,W/S Technology,,New heights,1967,468p,,,,SCGRANT,,14,,,,,,,,
SC##000168,Rs verma,Statics,,Othishala,1970,272,,,,SCGRANT,,7,,,,,,,,
SC##000169,Fraser,Telecommunication,,Lbs,1970,803p,,,,SCGRANT,,28,,,,,,,,
SC##000170,Fraser,Telecommunication,,Lbs,1970,803p,,,,SCGRANT,,28,,,,,,,,
SC##000171,Fraser,Telecommunication,,Lbs,1970,803p,,,,SCGRANT,,28,,,,,,,,
SC##000172,RPSharma,Properties of Matter,,Pmanju,1962,172,,,,SCGRANT,,3.5,,,,,,,,
SC##000173,Gupta and kaushish,Workshop Technology,,ky,1962,172p,,,,SCGRANT,,10.75,,,,,,,,
SC##000174,Tpkanetkor,Surverying and Teaching Part,,prakash,1962,172p,,,,SCGRANT,,10,,,,,,,,
SC##000175,Loney,Element of Status and Dynamics,,Up,1961,172p,,,,SCGRANT,,5,,,,,,,,
SC##000176,Mmuppal,Engineering Chemistry,,Khanna,1965,580p,,,,SCGRANT,,13.5,,,,,,,,
SC##000177,Jagdish Lal,Hydraulics,,Metro polition,1970,504p,,,,SCGRANT,,10,,,,,,,,
SC##000178,Mittal and Sharma,Integral Calculas,,krishna,1963,130p,,,,SCGRANT,,4.5,,,,,,,,
SC##000179,Sbgunerkor,Mechanics of Structure,,Sameas,1954,532p,,,,SCGRANT,,10,,,,,,,,
SC##000180,pandya and Shah,Element of Mechine Design,,Charator book,1962,686p,,,,SCGRANT,,12,,,,,,,,
SC##000181,Jaikrishana,Plan and Runforce Concrete,,Nemchand and Bnos,1962,686p,,,,SCGRANT,,10,,,,,,,,
SC##000182,David S Stewert,Practical Design of Simple Steel Element,,Constable of Co,1957,294p,,,,SCGRANT,,25,,,,,,,,
SC##000183,Mazunder,Applied Mechanics Through Worked,,Rainbow Co,1957,294p,,,,SCGRANT,,8,,,,,,,,
SC##000184,Sawhneyak,Electrical Design,,Dhanpatrai,1970,859p,,,,SCGRANT,,22.5,,,,,,,,
SC##000185,Sawhneyak,Electrical Design,,Dhanpatrai,1970,859p,,,,SCGRANT,,22.5,,,,,,,,
SC##000186,Spotts MF,Design of Machine Element,,EEE,1969,583p,,,,SCGRANT,,18,,,,,,,,
SC##000187,Punmiya BC,Surveying,,Sbh,1971,321p,,,,SCGRANT,,14,,,,,,,,
SC##000188,Punmiya BC,Surveying,,Sbh,1971,321p,,,,SCGRANT,,12.5,,,,,,,,
SC##000189,Barnes RM,Motion and Time Study Design and Meausurment of Work,,Wie,1968,799p,,,,SCGRANT,,36.07,,,,,,,,
SC##000190,Jagdish lal,Hydrulics and Fluid Mechanics,,Mbc,1971,597p,,,,SCGRANT,,18.5,,,,,,,,
SC##000191,Jagdish lal,Hydrulics and Fluid Mechanics,,Mbc,1971,597p,,,,SCGRANT,,18.5,,,,,,,,
SC##000192,Jagdish lal,Hydrulics and Fluid Mechanics,,Mbc,1971,597p,,,,SCGRANT,,18.5,,,,,,,,
SC##000193,Jagdish lal,Hydrulics and Fluid Mechanics,,Mbc,1971,597p,,,,SCGRANT,,15,,,,,,,,
SC##000194,Jagdish lal,Hydrulics and Fluid Mechanics,,Mbc,1971,597p,,,,SCGRANT,,15,,,,,,,,
SC##000195,Jagdish lal,Hydrulics and Fluid Mechanics,,Mbc,1971,597p,,,,SCGRANT,,15,,,,,,,,
SC##000196,Sdalela,Industrial Engineering,,Spd,1972,845p,,,,SCGRANT,,21,,,,,,,,
SC##000197,Sdalela,Industrial Engineering,,Spd,1972,845p,,,,SCGRANT,,21,,,,,,,,
SC##000198,Sdalela,Industrial Engineering,,Spd,1972,845p,,,,SCGRANT,,21,,,,,,,,
SC##000199,Daughty and Vallance,Design of Machine Members,,mhb,1964,520p,,,,SCGRANT,,14.6,,,,,,,,
SC##000200,lindberg RA,Process of material of manufacture,,Phi,1964,884p,,,,SCGRANT,,16.5,,,,,,,,
SC##000201,lindberg RA,Process of material of manufacture,,Phi,1964,884p,,,,SCGRANT,,16.5,,,,,,,,
SC##000202,lindberg RA,Process of material of manufacture,,Phi,1964,884p,,,,SCGRANT,,16.5,,,,,,,,
SC##000203,BallaneyPL,Theory of Machine,,Khanna,1972,1098p,,,,SCGRANT,,22.5,,,,,,,,
SC##000204,BallaneyPL,Theory of Machine,,Khanna,1972,1098p,,,,SCGRANT,,22.5,,,,,,,,
SC##000205,BallaneyPL,Theory of Machine,,Khanna,1972,1098p,,,,SCGRANT,,22.5,,,,,,,,
SC##000206,Sen GuptaDK,Steam and Gasturbunes,,RMLBN,1968,176,,,,SCGRANT,,8,,,,,,,,
SC##000207,Sen GuptaDK,Steam and Gasturbunes,,RMLBN,1968,176,,,,SCGRANT,,8,,,,,,,,
SC##000208,Sen GuptaDK,Steam and Gasturbunes,,RMLBN,1968,176,,,,SCGRANT,,8,,,,,,,,
SC##000209,MaleevVL,Internal Combustion Engine Theory and Design,,ISE,1945,636p,,,,SCGRANT,,4.6,,,,,,,,
SC##000210,MaleevVL,Internal Combustion Engine Theory and Design,,ISE,1945,636p,,,,SCGRANT,,4.6,,,,,,,,
SC##000211,Dutt PC,Design of Electrical Installation,,NKand B,1951,301p,,,,SCGRANT,,10,,,,,,,,
SC##000212,Dutt PC,Design of Electrical Installation,,NKand B,1951,301p,,,,SCGRANT,,10,,,,,,,,
SC##000213,Dutt PC,Design of Electrical Installation,,NKand B,1951,301p,,,,SCGRANT,,10,,,,,,,,
SC##000214,Royalsingals,Line communication,,JPD,1969,905,,,,SCGRANT,,17.5,,,,,,,,
SC##000215,Royalsingals,Line communication,,JPD,1969,905,,,,SCGRANT,,17.5,,,,,,,,
SC##000216,SoniGupta and Bhatnagar,Electrical Power,,DRandS,1972,748p,,,,SCGRANT,,25.75,,,,,,,,
SC##000217,SoniGupta and Bhatnagar,Electrical Power,,DRandS,1972,748p,,,,SCGRANT,,25.75,,,,,,,,
SC##000218,Mittal GK,Applied Electronics,,Pd,1971,1182p,,,,SCGRANT,,25,,,,,,,,
SC##000219,mittal GK,Applied Electronices,,P.d.,1971,1182p,,,,SCGRANT,,25,,,,,,,,
SC##000220,Sawhney AK,A Course In Electrical machine Design,,DRS,1972,1136p,,,,SCGRANT,,26.75,,,,,,,,
SC##000221,Sawhney AK,A Course In Electrical machine Design,,DRS,1972,1136p,,,,SCGRANT,,26.75,,,,,,,,
SC##000222,Clayton AE and Hancock,Performance and Design of DC machine,,ELBS,1971,516p,,,,SCGRANT,,15,,,,,,,,
SC##000223,Uppal SL,Electrical Power,,KPD,1970,1700p,,,,SCGRANT,,30.75,,,,,,,,
SC##000224,Uppal SL,Electrical Power,,KPD,1970,1700p,,,,SCGRANT,,30.75,,,,,,,,
SC##000225,Cottan and Barber,Transmission and Distribution of Electronic Energy,,BIP,1972,472p,,,,SCGRANT,,20,,,,,,,,
SC##000226,Cottan and Barber,Transmission and Distribution of Electronic Energy,,BIP,1972,472p,,,,SCGRANT,,20,,,,,,,,
SC##000227,Cottan and Barber,Transmission and Distribution of Electronic Energy,,BIP,1972,472p,,,,SCGRANT,,20,,,,,,,,
SC##000228,Say MG,Performance and Design of MC Machine,,LBS,1970,664p,,,,SCGRANT,,12,,,,,,,,
SC##000229,Say MG,Performance and Design of MC Machine,,LBS,1970,664p,,,,SCGRANT,,12,,,,,,,,
SC##000230,Verma SN,Automatic Control System,,KPD,1972,559p,,,,SCGRANT,,15,,,,,,,,
SC##000231,Taylor EO,Design of AC Communication Motors,,AHW,1971,350p,,,,SCGRANT,,17.5,,,,,,,,
SC##000232,Jhoraja BL,Electrical Technology,,SC and co.,1972,1832p,,,,SCGRANT,,32,,,,,,,,
SC##000233,Chourasia MP,High Voltage Engineering,,KPD,1972,726p,,,,SCGRANT,,30,,,,,,,,
SC##000234,Slalane,Town planning In question and Answer,,EBH,1972,256p,,,,SCGRANT,,8,,,,,,,,
SC##000235,Slalane,Town planning In question and Answer,,EBH,1972,256p,,,,SCGRANT,,8,,,,,,,,
SC##000236,Kshirsagar,Water Supply Engineering,,KPH,1969,403p,,,,SCGRANT,,12.5,,,,,,,,
SC##000237,Gharpure,Sanitary Engineering,,EB Bombay,1965,436p,,,,SCGRANT,,14,,,,,,,,
