barcode,author,title,volume,publisher,copyright,pages,classificationnumber,language,stockhead,issueinglibrary,subject,price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
SC##019942,Domkundwar,Power Plant Engineering,,Dhanpat Rai,2006,0,,,,SCGRANT,,320,,,,,,,,
SC##019943,Domkundwar,Power Plant Engineering,,Dhanpat Rai,2006,0,,,,SCGRANT,,320,,,,,,,,
SC##019944,"Mahajan, M.",Statistical Quality Control,,Dhanpat Rai,2007,554,,,,SCGRANT,,125,,,,,,,,
SC##019945,"Mahajan, M.",Statistical Quality Control,,Dhanpat Rai,2007,554,,,,SCGRANT,,125,,,,,,,,
SC##019946,"Mahajan, M.",Statistical Quality Control,,Dhanpat Rai,2007,554,,,,SCGRANT,,125,,,,,,,,
SC##019947,"Mahajan, M.",Statistical Quality Control,,Dhanpat Rai,2007,554,,,,SCGRANT,,125,,,,,,,,
SC##019948,"Mahajan, M.",Statistical Quality Control,,Dhanpat Rai,2007,554,,,,SCGRANT,,125,,,,,,,,
SC##019949,"Mahajan, M.",Statistical Quality Control,,Dhanpat Rai,2007,554,,,,SCGRANT,,125,,,,,,,,
SC##019950,"Mukhopadhyay, S.K.","Production , Planning and Control",,Prentice Hall of India,2007,371,,,,SCGRANT,,275,,,,,,,,
SC##019951,"Mukhopadhyay, S.K.","Production , Planning and Control",,Prentice Hall of India,2007,371,,,,SCGRANT,,275,,,,,,,,
SC##019952,"Mukhopadhyay, S.K.","Production , Planning and Control",,Prentice Hall of India,2007,371,,,,SCGRANT,,275,,,,,,,,
SC##019953,"Mukhopadhyay, S.K.","Production , Planning and Control",,Prentice Hall of India,2007,371,,,,SCGRANT,,275,,,,,,,,
SC##019954,"Mukhopadhyay, S.K.","Production , Planning and Control",,Prentice Hall of India,2007,371,,,,SCGRANT,,275,,,,,,,,
SC##019955,"Shan, H.S.",Work Study & Ergonomics,,Dhanpat Rai,2007,316,,,,SCGRANT,,65,,,,,,,,
SC##019956,"Shan, H.S.",Work Study & Ergonomics,,Dhanpat Rai,2007,316,,,,SCGRANT,,65,,,,,,,,
SC##019957,"Shan, H.S.",Work Study & Ergonomics,,Dhanpat Rai,2007,316,,,,SCGRANT,,65,,,,,,,,
SC##019958,"Shan, H.S.",Work Study & Ergonomics,,Dhanpat Rai,2007,316,,,,SCGRANT,,65,,,,,,,,
SC##019959,"Shan, H.S.",Work Study & Ergonomics,,Dhanpat Rai,2007,316,,,,SCGRANT,,65,,,,,,,,
SC##019960,"Grant, E.L.",Statistical Quality Control,,Tata McGraw Hill,2007,764,,,,SCGRANT,,375,,,,,,,,
